Disparity	1.008	1.002	1.000	1.002
MSER	1.023	1.000	1.009	1.012
Sift	1.000	1.123	1.065	1.078
Stitch	1.027	1.011	1.000	1.022
Localization	133.336	1.000	1.012	1.059
Tracking	2.014	1.000	1.017	1.030
SVM	1.000	2.285	1.633	1.835
