WSS,SoloMissRate,DiffMissRate,SameMissRateRead,SameMissRateWrite
64,0.06,0.05,0.04,0.07
128,0.02,0.02,0.03,0.03
192,0.02,0.015,0.02,0.02
256,0.02,0.01,0.03,0.03
320,0.04,0.095,0.27,0.18
512,51.77,50.965,63.54,58.58


